origin,destination,estimate
Oregon,Delaware,0.0
Pennsylvania,Delaware,13350.0
Rhode Island,Delaware,187.0
South Carolina,Delaware,385.0
South Dakota,Delaware,0.0
Tennessee,Delaware,629.0
Texas,Delaware,400.0
Utah,Delaware,33.0
Vermont,Delaware,0.0
Virginia,Delaware,882.0
Washington,Delaware,274.0
West Virginia,Delaware,0.0
Wisconsin,Delaware,342.0
Wyoming,Delaware,0.0
Puerto Rico,Delaware,0.0
U.S. Island Area3,Delaware,0.0
Foreign Country,Delaware,6779.0
Alabama,District of Columbia,423.0
Alaska,District of Columbia,0.0
Arizona,District of Columbia,242.0
Arkansas,District of Columbia,0.0
California,District of Columbia,2976.0
Colorado,District of Columbia,376.0
Connecticut,District of Columbia,760.0
Delaware,District of Columbia,111.0
Florida,District of Columbia,1856.0
Georgia,District of Columbia,1537.0
Hawaii,District of Columbia,53.0
Idaho,District of Columbia,0.0
Illinois,District of Columbia,770.0
Indiana,District of Columbia,1010.0
Iowa,District of Columbia,0.0
Kansas,District of Columbia,0.0
Kentucky,District of Columbia,168.0
Louisiana,District of Columbia,1130.0
Maine,District of Columbia,1190.0
Maryland,District of Columbia,12647.0
Massachusetts,District of Columbia,2685.0
Michigan,District of Columbia,1490.0
Minnesota,District of Columbia,394.0
Mississippi,District of Columbia,130.0
Missouri,District of Columbia,365.0
Montana,District of Columbia,22.0
Nebraska,District of Columbia,58.0
Nevada,District of Columbia,56.0
New Hampshire,District of Columbia,14.0
New Jersey,District of Columbia,2071.0
New Mexico,District of Columbia,48.0
New York,District of Columbia,4766.0
North Carolina,District of Columbia,1423.0
North Dakota,District of Columbia,126.0
Ohio,District of Columbia,1248.0
Oklahoma,District of Columbia,476.0
Oregon,District of Columbia,794.0
Pennsylvania,District of Columbia,3085.0
Rhode Island,District of Columbia,369.0
South Carolina,District of Columbia,514.0
South Dakota,District of Columbia,0.0
Tennessee,District of Columbia,622.0
Texas,District of Columbia,2631.0
Utah,District of Columbia,207.0
Vermont,District of Columbia,86.0
Virginia,District of Columbia,7085.0
Washington,District of Columbia,443.0
West Virginia,District of Columbia,100.0
